eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
45,1995,6,22,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,2,Restaurant/Bar/Caf?u/l Serbian Restaurant,u/l Serbian Restaurant,,1001,Serbia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,Incendiary; Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
46,1995,7,21,,0,,14,Australia,12,Australasia & Oceania,Australian Capital Territory,Canberra,-35.308236,149.124224,1,0,,,1,1,1,-9,,,0,1,0,9,Unknown,,,,,7,Government (Diplomatic),46,Embassy/Consulate,French Gov't,Embassy,69,France,,,,,,,,,,,,,,,,,Anti-Nuclear extremists,,,,,,,0,,,0,6,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
47,1995,9,8,,0,,14,Australia,12,Australasia & Oceania,Australian Capital Territory,Canberra,-35.308236,149.124224,1,0,,,1,1,1,-9,,,0,0,0,9,Unknown,,,,,1,Business,7,Retail/Grocery/Bakery,Unk,Bakery products,69,France,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0,,,0,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
48,1996,8,3,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Coffs Harbour,-30.296312,153.115672,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21,Government Building/Facility/Office,Government,Offices,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
49,1996,8,15,,0,,14,Australia,12,Australasia & Oceania,South Australia,Adelaide,-34.928726,138.599945,1,0,,,1,1,1,-9,,,0,1,0,2,Armed Assault,,,,,1,Business,,,unknown,workers,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,2,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Firearm,2,,,1,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
50,1996,10,23,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,19,Transportation,102,Subway,unknown,Subway system,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
51,1996,10,27,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,19,Transportation,102,Subway,unknown,subway system,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),12000,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
52,1996,10,31,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,19,Transportation,102,Subway,unknown,subway system,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
53,1997,2,26,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,14,Private Citizens & Property,74,Marketplace/Plaza/Square,Unk,Shopping Center,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,2,Chemical,,,,,,,,,,,,,,,Gas,0,,,4,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
54,1997,2,28,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,1,Business,7,Retail/Grocery/Bakery,Cole's Supermarket,Supermarket,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,2,Chemical,,,,,,,,,,,,,,,Gas,0,,,19,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
55,1997,8,21,,0,,14,Australia,12,Australasia & Oceania,Australian Capital Territory,Canberra,-35.308236,149.124224,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),18,"Government Personnel (excluding police, military)",Gov't,Residence of official,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
56,1997,9,21,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,11,Maritime,57,Civilian Maritime,Narrabeen,Ferry,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
57,1998,9,22,,0,,14,Australia,12,Australasia & Oceania,Northern Territory,Kakudu National Park,-12.673648,132.81754,1,0,This incident occurred at the Kakadu National Park.,"09/22/1998: The Darwin office of Australia's largest uranium miner was badly damaged in a firebomb attack. Three petrol-filled Molotov cocktails were found at the suburban office of Energy Resources Australia after the fire, which caused damaged estimated at $100,000. No one was injured or killed, and no group claimed responsibility for the attack.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,10,Mining,Energy Resources Australia,Jabiluka mine,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Three petrol-filled Molotov cocktails were found at the scene.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),100000,,0,,,,,,,,,,,,,,,,,"�Firebomb wrecks uranium mine office,?The Australian, September 22, 1998.","�Mine Site Owner in Crossfire,?The Age, September 22, 1998.","�Bombs Fail to Win Support for Cause,?The Australian, September 22, 1998.",CETIS,-9,-9,0,-9,
58,1998,11,1,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Lakemba,-33.919568,151.07683,1,0,,"11/01/1998: Approximately 18 shots were fired at the Lakemba police station in Sydney, Australia. There were no casualties and no one claimed responsibility for the attack.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,22,"Police Building (headquarters, station, school)",Australian Police,"Lakemba Police Station in Sydney, Australia",14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,,0,0,0,0,0,0,1,4,Unknown,,,0,,,,,,,,,,,,,,,,,"�Anarchy pulls the trigger,?The Daily Telegraph (Sydney, Australia), November 1, 1998.",,,CETIS,-9,-9,0,-9,
59,1998,12,2,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,"12/02/1998: In a series of related incidents, a mail bomb was delivered to the home of federal privacy commissioner, Moira Scollay, in Sydney, Australia. There were no casualties in this incident. Several other mail bombs were also mailed out around Australia and twenty-two additional parcels were discovered at a Canberra mail center. Colin George Dunstan, a disgruntled former Australian Taxation Office employee, was the suspected perpetrator.",0,1,1,1,2,Other Crime Type,1,1,0,3,Bombing/Explosion,,,,,2,Government (General),18,"Government Personnel (excluding police, military)",Government Official,"Moira Scollay, Federal Privacy Commissioner, in Sydney",14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,1,,,1,1,0,0,,,,,,,,,,6,Explosives,9,Letter Bomb,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,"This was one of four related attacks (cf. 199812020001-3; 199812030003). These parcels let to bomb scares the following day in Melbourne, Sydney, and the Northern Territory led to the evacuation of major buildings. These scares turned out to be false alarms.","""Tax office evacuated by bomb scare; Darwin Parliament also cleared out,"" Associated Press Worldstream, December 02, 1998.","Peter Spielmann, �Bomb scares evacuate NT Parliament, Sydney and Melbourne towers With AP Pho,?Associated Press Worldstream, December 3, 1998.",,CETIS,-9,-9,0,-9,"199812020001, 199812020002, 199812020003, 199812160002"
60,1998,12,2,,0,,14,Australia,12,Australasia & Oceania,Australian Capital Territory,Canberra,-35.308236,149.124224,1,0,,"12/02/1998: In a series of related incidents, a mail bomb exploded in a mail center in Canberra, Australia. The explosion injured two postal workers and caused minor damage to the center. Twenty-one additional letter bombs were found at the Canberra mail center after the one bomb exploded, setting off a nationwide alert. Most of the parcels had been addressed to current or former staff at the Australian Taxation Office. Several other mail bombs were also mailed out around Australia. Colin George Dunstan, a disgruntled former Australian Taxation Office employee, was the suspected perpetrator.",0,1,1,1,2,Other Crime Type,1,1,0,3,Bombing/Explosion,,,,,2,Government (General),21,Government Building/Facility/Office,Australian Postal Service,"Mail center in Canberra, Australia",14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,1,,,1,1,0,0,,,,,,,,,,6,Explosives,9,Letter Bomb,,,,,,,,,,,,,,0,0,0,2,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,"This was one of four related attacks (cf. 199812020001-3; 199812030003). These parcels let to bomb scares the following day in Melbourne, Sydney, and the Northern Terrority led to the evacuation of major buildings. These scares turned out to be false alarms.","�Police tighten net on bomber,?The Daily Telegraph, December 3, 1998.","Peter Spielmann, �Bomb scares evacuate NT Parliament, Sydney and Melbourne towers With AP Pho,?The Associated Press Worldstream, December 3, 1998.","�Australian police begin manhunt for letter-bomb suspect,?Deseret News, December 3, 1998.",CETIS,-9,-9,0,-9,"199812020002, 199812020001, 199812020003, 199812160002"
61,1998,12,2,,0,,14,Australia,12,Australasia & Oceania,Victoria,Melbourne,-37.813187,144.96298,1,0,,"12/02/1998: In a series of related incidents, a mail bomb was delivered to the home former federal sex discrimination commissioner, Sue Walpole in Melbourne, Australia. There were no casualties in this incident. Several other mail bombs were also mailed out around Australia and twenty-two additional parcels were discovered at a Canberra mail center. Colin George Dunstan, a disgruntled former Australian Taxation Office employee, was the suspected perpetrator.",0,1,1,1,2,Other Crime Type,1,1,0,3,Bombing/Explosion,,,,,2,Government (General),18,"Government Personnel (excluding police, military)",Former Government Official,"Sue Walpole, former Federal Sex Discrimination Commissioner, in Melbourne",14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,1,,,1,1,0,0,,,,,,,,,,6,Explosives,9,Letter Bomb,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,"This was one of four related attacks (cf. 199812020001-3; 199812030003). These parcels let to bomb scares the following day in Melbourne, Sydney, and the Northern Terrority led to the evacuation of major buildings. These scares turned out to be false alarms.","""Tax office evacuated by bomb scare; Darwin Parliament also cleared out,"" Associated Press Worldstream, December 02, 1998.","Peter Spielmann, �Bomb scares evacuate NT Parliament, Sydney and Melbourne towers With AP Pho,?Associated Press Worldstream, December 3, 1998.",,CETIS,-9,-9,0,-9,"199812020003, 199812020001, 199812020002, 199812160002"
62,1998,12,3,,0,,14,Australia,12,Australasia & Oceania,Australian Capital Territory,Waitara,-33.711025,151.104299,1,0,,"12/03/1998: In a series of related incidents, a mail bomb was delivered to the home of a public servant in Queensland. There were no casualties in this incident. Several other mail bombs were also mailed out around Australia and twenty-two additional parcels were discovered at a Canberra mail center. Colin George Dunstan, a disgruntled former Australian Taxation Office employee, was the suspected perpetrator.",0,1,1,1,2,Other Crime Type,1,1,0,3,Bombing/Explosion,,,,,2,Government (General),18,"Government Personnel (excluding police, military)",Government Employee,Public servant in Queensland,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,1,,,1,1,0,0,,,,,,,,,,6,Explosives,9,Letter Bomb,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,"This was one of four related attacks (cf. 199812020001-3; 199812030003). These parcels let to bomb scares the following day in Melbourne, Sydney, and the Northern Terrority led to the evacuation of major buildings. These scares turned out to be false alarms.","""Tax office evacuated by bomb scare; Darwin Parliament also cleared out,"" Associated Press Worldstream, December 02, 1998.","Peter Spielmann, �Bomb scares evacuate NT Parliament, Sydney and Melbourne towers With AP Pho,?Associated Press Worldstream, December 3, 1998.",,CETIS,-9,-9,0,-9,"199812030002, 199812020001, 199812020002, 199812020003"
63,2000,10,17,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Normahurst,-33.724162,151.085374,1,0,This incident was took place between the Normanhurst and Thornleigh suburbs of Sydney.,"10/17/2000: A sniper shot at a train traveling between the between the Normanhurst and Thornleigh suburbs of Sydney, Australia. No casualties were reported as a result of the incident. It was unknown who was responsible for the incident.",0,1,1,1,2,Other Crime Type,0,0,0,2,Armed Assault,,,,,19,Transportation,100,Train/Train Tracks/Trolley,Cityrail,Cityrail Train Traveling Between the Normanhurst and Thornleigh suburbs of Sydney,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,0,0,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,A train window was broken in the incident.,0,,,,,,,,,,,,,,,,"A similar incident was reported to have occurred on October 15, 2000.","�Sniper hits two trains in five days,?The Daily Telegraph, October 19, 2000.",,,CETIS,-9,-9,0,-9,
64,2001,9,23,,0,,14,Australia,12,Australasia & Oceania,Queensland,Brisbane,-27.470933,153.023502,1,0,,"09/23/2001: A Brisbane, Australia mosque was ruined in a suspected arson attack. No group claimed responsibility.",1,1,1,1,2,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,,,,,15,Religious Figures/Institutions,86,Place of Worship,Islamic Mosque,Islamic mosque in Brisbane,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Reports indicated that the attack devastated the building.,0,,,,,,,,,,,,,,,,,"""Mosque Attack Calm Plea,?Herald Sun, September 24, 2001.","""Mosque Attack 'Terrorism on Smaller Scale',?Townsville Sun, September 24, 2001.",,CETIS,-9,-9,0,-9,
65,2001,10,15,,0,,14,Australia,12,Australasia & Oceania,Victoria,Melbourne,-37.813187,144.96298,1,0,,"10/15/2001:  A letter delivered by mail to the U.S. Consulate in Melbourne, Australia contained an unknown chemical agent.  No injuries were reported in the attack.",1,1,1,0,,,0,0,0,8,Unarmed Assault,,,,,7,Government (Diplomatic),46,Embassy/Consulate,U.S. State Department,"U.S. Consulate in Melbourne, Australia.",217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown.,0,,,0,,0,0,,,,,,,,,,2,Chemical,,,,,,,,,,,,,,,Unknown chemical agent.,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,"�US Consulate Evacuated in Chemical Scare,?Yahoo News, October 15, 2001.",,,CETIS,-9,-9,1,1,
66,2006,4,8,,0,,14,Australia,12,Australasia & Oceania,Queensland,Broadbeach,-28.0291,153.431388,1,0,,"04/08/2006: The mobile phone shop of former Shapelle Corby backer Ron Bakir was firebombed at 6:00 a.m. when a man bashed the glass doors of the shop with a rock before dropping a cigarette into a canister of fuel on the footpath outside in Broadbeach, Australia. No group claimed responsibility for the attack.",1,1,1,1,2,Other Crime Type,0,1,0,3,Bombing/Explosion,,,,,1,Business,7,Retail/Grocery/Bakery,Business of Broadbeach,Mobile phone shop of Ron Bakir in Broadbeach,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,0,0,,,,,,,,,,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,The fire was caused by a plastic container of fuel and lit with a cigarette.,0,0,0,0,0,0,1,4,Unknown,,The fire damaged the door but was put out before the container exploded.,0,,,,,,,,,,,,,,,,No one was in the store at the time. Ron Bakir could not suggest a potential reason for this attack. He had previously praised people of the Gold Coast for ignoring calls to join race riots.,"Weston, Paul, �Firebomb raid on Corby's ex-backer,?The Sunday Mail (Australia), April 09, 2006.","�Quick News,?Sunday Tasmanian (Australia), April 09, 2006.","�Attack mystifies Bakir,?Northern Territory News (Australia), April 09, 2006.",CETIS,-9,-9,0,-9,
67,2006,8,1,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Paramatta,-33.815128,151.003155,1,0,,"08/01/2006: A group of Middle Eastern men stoned Sydney, Australia�s Parramatta Synagogue�s roof and windows and damaged cars nearby. No group has claimed responsiblity for this attack.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,15,Religious Figures/Institutions,86,Place of Worship,Synagogue,Parramatta Synagogue,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,10,,0,,,,,,,,,,12,Other,21,Blunt Object,,,,,,,,,,,,,,0,0,0,,0,0,-9,,,,,0,,,,,,,,,,,,,,,,,"Russell Skelton and Sarah Smiles, �Sydney synagogue rocked by attack,?The Age, August 1, 2006.","�Synagogue is war victim,?The Daily Telegraph, August 1, 2006.",,CETIS,-9,-9,0,-9,
68,2008,4,21,,0,,14,Australia,12,Australasia & Oceania,Queensland,Vale View,-27.661735,151.897583,1,0,"The attempted bombing took place in Federation Park on the Drayton Connection Road, near Vale View south of Toowoomba, Queensland, Australia.","04/21/2008: On Monday, a 30 mm pipe bomb rigged with external batteries and a mobile phone was detonated by the police bomb squad unit after it was found by council workers in Federation Park on the Drayton Connection Road, near Vale View south of Toowoomba, Queensland, Australia. No claim of responsibility was made for the attempted bombing, however on 04/22/2008 on Tuesday, executed a search warrant at a home in Kent Street at Oakey and allegedly found evidence of a home-made explosive device. A 21-year-old man was arrested and charged with one count of attempting to damage property by explosives.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",,Federation Park,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown or was not reported.,0,,,0,1,1,0,,,,,,,,,,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,"A mobile phone-triggered, battery-powered, 30 mm pipe was used in the attack.",0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"News.com.au, ""Police Destroy Pipe Bomb Found at Toowoomba Park,"" http://news.com.au (accessed April 22, 2008).","AAP Newsfeed, ""Qld: Man Charged Over Pipe Bomb Found in Park,"" Lexis Nexis, AAP Newsfeed, April 23, 2008.",,ISVG,-9,-9,0,-9,
69,2008,12,8,,0,,14,Australia,12,Australasia & Oceania,Western Australia,Joondalup,-31.743357,115.764172,1,0,Joondalup Police Station,"12/08/2008: On Monday, a Holden Rodeo ute vehicle carrying a 220-liter fuel tank was backed into the Joondalup police station and set aflame. The attack damaged two offices, one of which was the inspector's District Office. No casualties were reported.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,3,Police,22,"Police Building (headquarters, station, school)",,Joondalup Police station,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0,,,0,1,0,0,,,,,,,,,,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,A fuel tank was set ablaze in the attack.,0,0,0,0,0,0,1,4,Unknown,,The attack caused an unknown amount of property damage.,0,,,,,,,-9,,,,,,,,,,"ABC, ""Police Seeking Man Over Firebombings,"" http://www.abc.net.au/news/stories/2008/12/10/2442883.htm"" (December 10, 2008).","PerthNow, Cox, Nicole, ""Attack on Warwick Police Station Follows Joondalup Firebombing,"" http://www.news.com.au/perthnow/story/0,21598,24778930-2761,00.html (December 10, 2008).","PerthNow, Stanley, Warwick, ""Joondalup Police tation Damaged by Fire Attack,"" http://www.news.com.au/perthnow/story/0,21598,24772985-2761,00.html (December 09, 2009).",ISVG,-9,-9,0,-9,
70,2008,12,10,,0,,14,Australia,12,Australasia & Oceania,Western Australia,Joondalup,-31.743357,115.764172,1,0,"Warwick district, Joondalup Warwick Police station","12/10/2008: On Wednesday morning, at 0235, two private vehicles belonging to Warwick police officers were firebombed in Joondalup, Western Australia, Oceania, Australia.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,3,Police,25,Police Security Forces/Officers,,The target were private vehicles of police officers in Warwick,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,A firebomb was used in the attack,0,0,0,0,0,0,1,4,Unknown,60000,Two private vehicles of Warwick police officers were firebounded.,0,,,,,,,-9,,,,,,,,,,"Watoday, Thomson, Chris, and Chalpat Sonti, ""Man Charged Over Joondalup Police Station Bombing,"" http://www.watoday.com.au/wa-news/man-charged-over-joondalup-police-station-bombing-20081210-6v6v.html?page=-1 (December 10, 2008).","ABC Premium News, ""Second Warwick Police Station Firebombed,"" LexisNexis Academic, ABC Premium News, December 10, 2008.",,ISVG,-9,-9,0,-9,
71,2009,10,8,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Condell Park,-33.922832,151.011897,1,0,"The explosive was placed on the hood of a car on Market Street at Condell Park, Sydney, New South Wales, Australia.","10/08/2009: On Thursday night at 0100, in Market Street in Condell park, Sydney, New South Wales, Australia, an improvised explosive device placed on the hood of a car detonated, smashing the windows of two townhouses and destroying the vehicle. Investigator Mark Smith says it is not clear if the device was intended for the vehicle or the townhouses 10-15 meters away. No group claimed responsibility.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,73,Vehicles/Transportation,,A civilian vehicle was targeted in the attack.,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0,,,0,-99,0,0,,,,,,,,,,6,Explosives,29,Sticky Bomb,,,,,,,,,,,,,An improvised explosive device placed  on the hood of a car was used in the attack.,0,0,0,0,0,0,1,4,Unknown,,Civilian townhouses were damaged and a vehicle was destroyed.,0,,,,,,,,,,,,,,,,,"Abc. Net,""Car, Houses Damaged by Homemade Bomb,"" http://www.abc.net.au/news/stories/2009/10/08/2707922.htm?section=australia(October 8, 2009).","Australian Associated Press,""Highlights of the AAP National Wire at 14:30, October Eight,"" LexisNexis Academic, Australian Associated Press, October 8, 2009",,ISVG,-9,-9,0,-9,
72,2010,2,4,,0,,14,Australia,12,Australasia & Oceania,Western Australia,Perth,-31.952854,115.857339,1,0,"The attack took place at a mosque in Queens Park, Perth.","02/04/2010: On Thursday night, in Queens Park, Perth, Western Australia, Australia, armed assailants fired upon a mosque, damaging the mosque but causing no casualties. No group claimed responsibility, although authorities believed Combat 18 was responsible.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,15,Religious Figures/Institutions,86,Place of Worship,,The target was a mosque.,14,Australia,,,,,,,,,,,,,,,,,Combat 18,,,,,,The specific motive for the attack is unknown.,1,,,0,-99,0,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Unknown firearms were used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,A mosque was damaged in the attack.,0,,,,,,,,,,,,,,,,,"National Counterterrorism Center, ""One Mosque Damaged in Armed Attack by Suspected Combat 18 in Perth, Western Australia, Australia,"" Worldwide Incidents Tracking System, July 9, 2010.","ABC Premium News, ""Shots Fired at Mosque,"" LexisNexis Academic, ABC News, February 10, 2010.","West Australian, ""Police Probe Mosque Attack,"" LexisNexis Academic, West Australian, February 11, 2010.",ISVG,1,1,0,1,
